city,number_of_storeys
Toplam-Total,5.0
Adana,5.4
Adıyaman,3.5
Afyonkarahisar,2.9
Ağrı,2.4
Amasya,3.6
Ankara,7.1
Antalya,4.8
Artvin,4.1
Aydın,3.8
Balıkesir,3.5
Bilecik,4.1
Bingöl,3.6
Bitlis,3.3
Bolu,3.8
Burdur,3.0
Bursa,4.5
Çanakkale,3.5
Çankırı,3.9
Çorum,3.9
Denizli,3.8
Diyarbakır,5.9
Edirne,3.7
Elazığ,4.3
Erzincan,2.8
Erzurum,4.0
Eskişehir,4.4
Gaziantep,5.0
Giresun,4.3
Gümüşhane,3.7
Hakkari,2.9
Hatay,3.6
Isparta,3.9
Mersin,5.3
İstanbul,6.9
İzmir,4.7
Kars,2.7
Kastamonu,4.3
Kayseri,8.2
Kırklareli,3.7
Kırşehir,4.1
Kocaeli,4.1
Konya,4.3
Kütahya,3.6
Malatya,5.0
Manisa,3.4
Kahramanmaraş,4.4
Mardin,4.2
Muğla,2.5
Muş,3.1
Nevşehir,3.8
Niğde,4.7
Ordu,3.9
Rize,5.7
Sakarya,2.8
Samsun,4.9
Siirt,4.4
Sinop,3.9
Sivas,4.3
Tekirdağ,5.0
Tokat,3.5
Trabzon,5.4
Tunceli,3.3
Şanlıurfa,3.7
Uşak,3.9
Van,3.1
Yozgat,3.5
Zonguldak,4.0
Aksaray,3.7
Bayburt,3.5
Karaman,4.0
Kırıkkale,4.5
Batman,4.6
Şırnak,3.4
Bartın,3.4
Ardahan,2.2
Iğdır,2.6
Yalova,3.8
Karabük,4.3
Kilis,3.7
Osmaniye,3.3
Düzce,2.8
